O%,AAC,IC0,MLOGP,BLTA96,BLTD48,BLTF96,Me,Mor31s,SM1_Dz(p),SpMin1_Bh(m),Psi_i_A,Psi_e_A,BIC0,CATS2D_00_LL,CATS2D_01_LL,SM1_Dz(v),SIC0,SM1_Dz(Z),SIC0,SM1_Dz(Z),RF
0.29004329,0.321387283,0.321387283,0.287150986,0.712962963,0.713091922,0.713395639,0.179104478,0.443545829,0.625475285,0.667286245,0.383477189,0.383477189,0.373333333,0.2,0.142857143,0.725040917,0.417445483,0.229188078,0.417445483,0.229188078,0.550505051
0.29004329,0.683236994,0.683236994,0.25883287,0.740740741,0.740947075,0.741433022,0.291044776,0.413257215,0.510456274,0.579925651,0.463214139,0.463214139,0.568,0.2,0.071428571,0.557283142,0.666666667,0.340184995,0.666666667,0.340184995,0.45959596
0.173160173,0.280924855,0.280924855,0.463014424,0.537037037,0.537604457,0.537383178,0.126865672,0.57120203,0.625475285,0.819702602,0.284422524,0.284422524,0.208,0.466666667,0.428571429,0.725040917,0.246105919,0.229188078,0.246105919,0.229188078,0.747474747
0.619047619,0.575722543,0.575722543,0.252481143,0.747354497,0.747910864,0.747663551,0.410447761,0.284173803,0.274714829,0.453531599,0.459515002,0.459515002,0.4,0.133333333,0,0.355973813,0.470404984,0.575539568,0.470404984,0.575539568,0.550505051
0.194805195,0.302890173,0.302890173,0.418816991,0.580687831,0.580779944,0.580996885,0.141791045,0.54931811,0.625475285,0.771375465,0.314837649,0.314837649,0.245333333,0.4,0.285714286,0.725040917,0.289719626,0.229188078,0.289719626,0.229188078,0.671717172
0.432900433,0.478612717,0.478612717,0.208019055,0.792328042,0.792479109,0.792834891,0.291044776,0.426736441,0.625475285,0.434944238,0.657624332,0.657624332,0.602666667,0.133333333,0,0.725040917,0.707165109,0.229188078,0.707165109,0.229188078,0.313131313
0.411255411,0.661271676,0.661271676,0.114198756,0.886243386,0.885793872,0.886292835,0.328358209,0.26276562,0.341254753,0.678438662,0.576243321,0.576243321,0.458666667,0.133333333,0.071428571,0.386252046,0.523364486,0.509763618,0.523364486,0.509763618,0.136363636
0.255411255,0.574566474,0.574566474,0.170570332,0.829365079,0.830083565,0.830218069,0.23880597,0.329368855,0.510456274,0.646840149,0.503493629,0.503493629,0.482666667,0.133333333,0,0.557283142,0.542056075,0.340184995,0.542056075,0.340184995,0.303030303
0.575757576,0.633526012,0.633526012,0.406245865,0.593915344,0.594707521,0.595015576,0.455223881,0.2408817,0.418250951,0.765799257,0.558569667,0.558569667,0.461333333,0.4,0.428571429,0.519639935,0.632398754,0.416238438,0.632398754,0.416238438,0.434343434
0.181818182,0.36416185,0.36416185,0.655948128,0.343915344,0.344011142,0.34423676,0.223880597,0.447827466,0.625475285,0.856877323,0.295519934,0.295519934,0.2,0.8,0.857142857,0.725040917,0.30529595,0.229188078,0.30529595,0.229188078,0.904040404
0.272727273,0.452023121,0.452023121,0.391822152,0.608465608,0.608635097,0.609034268,0.23880597,0.382017127,0.625475285,0.802973978,0.340731607,0.340731607,0.36,0.4,0.428571429,0.725040917,0.482866044,0.229188078,0.482866044,0.229188078,0.712121212
0.432900433,0.478612717,0.478612717,0.362974725,0.637566138,0.637883008,0.637071651,0.291044776,0.492388202,0.418250951,0.669144981,0.417591451,0.417591451,0.362666667,0.266666667,0.142857143,0.519639935,0.426791277,0.416238438,0.426791277,0.416238438,0.48989899
0.411255411,0.499421965,0.499421965,0.395527326,0.604497354,0.604456825,0.604361371,0.291044776,0.415477323,0.418250951,0.669144981,0.436909166,0.436909166,0.346666667,0.333333333,0.214285714,0.519639935,0.423676012,0.416238438,0.423676012,0.416238438,0.560606061
0.393939394,0.416184971,0.416184971,0.274712187,0.724867725,0.725626741,0.725856698,0.253731343,0.394862036,0.418250951,0.676579926,0.332100288,0.332100288,0.314666667,0.2,0.142857143,0.519639935,0.358255452,0.416238438,0.358255452,0.416238438,0.237373737
0,0.010404624,0.010404624,0.737461956,0.263227513,0.263231198,0.263239875,0.007462687,0.706470029,1,0.842007435,0.023838882,0.023838882,0.074666667,0.533333333,0.5,1,0.080996885,0,0.080996885,0,0.944444444
0,0.01734104,0.01734104,0.819505095,0.181216931,0.181058496,0.180685358,0.007462687,0.793212813,1,0.86802974,0.013563502,0.013563502,0.045333333,0.666666667,0.642857143,1,0.049844237,0,0.049844237,0,0.934343434
0,0.021965318,0.021965318,0.895328834,0.104497354,0.104456825,0.104361371,0.007462687,0.879321281,1,0.882899628,0.006576243,0.006576243,0.024,0.8,0.785714286,1,0.024922118,0,0.024922118,0,0.904040404
0,0.023121387,0.023121387,0.931321953,0.068783069,0.069637883,0.068535826,0.007462687,0.921027593,1,0.890334572,0.004110152,0.004110152,0.013333333,0.866666667,0.857142857,1,0.015576324,0,0.015576324,0,0.893939394
0.16017316,0.23699422,0.23699422,0.482201932,0.518518519,0.51810585,0.518691589,0.104477612,0.681255947,0.625475285,0.713754647,0.109330045,0.109330045,0.178666667,0.4,0.285714286,0.725040917,0.202492212,0.229188078,0.202492212,0.229188078,0.681818182
0.541125541,0.560693642,0.560693642,0.411803626,0.588624339,0.58913649,0.588785047,0.365671642,0.265620044,0.164448669,0.689591078,0.452116728,0.452116728,0.285333333,0.4,0.214285714,0.219312602,0.342679128,0.712230216,0.342679128,0.712230216,0.409090909
0.393939394,0.471676301,0.471676301,0.558290327,0.441798942,0.441504178,0.442367601,0.268656716,0.587694259,0.164448669,0.719330855,0.360460337,0.360460337,0.189333333,0.666666667,0.5,0.219312602,0.22741433,0.712230216,0.22741433,0.712230216,0.53030303
0.497835498,0.484393064,0.484393064,0.210930263,0.78968254,0.789693593,0.789719626,0.320895522,0.315889629,0.274714829,0.563197026,0.369913687,0.369913687,0.309333333,0.133333333,0,0.355973813,0.355140187,0.575539568,0.355140187,0.575539568,0.323232323
0.649350649,0.54566474,0.54566474,0.114198756,0.886243386,0.885793872,0.886292835,0.410447761,0.188392008,0.274714829,0.399628253,0.43485409,0.43485409,0.410666667,0,0,0.355973813,0.46728972,0.575539568,0.46728972,0.575539568,0.227272727
0.255411255,0.574566474,0.574566474,0.170570332,0.829365079,0.830083565,0.830218069,0.23880597,0.369806533,0.510456274,0.527881041,0.383477189,0.383477189,0.482666667,0,0,0.557283142,0.542056075,0.340184995,0.542056075,0.340184995,0.297979798
0.497835498,0.484393064,0.484393064,0.210930263,0.78968254,0.789693593,0.789719626,0.320895522,0.283539486,0.274714829,0.585501859,0.342375668,0.342375668,0.309333333,0.133333333,0.071428571,0.355973813,0.355140187,0.575539568,0.355140187,0.575539568,0.277777778
0.761904762,0.580346821,0.580346821,0.059944422,0.94047619,0.940111421,0.940809969,0.485074627,0.108785284,0.274714829,0.379182156,0.618166872,0.618166872,0.485333333,0,0,0.355973813,0.54517134,0.575539568,0.54517134,0.575539568,0.121212121
0.722943723,0.58150289,0.58150289,0.05729787,0.943121693,0.942896936,0.943925234,0.462686567,0.06390739,0.164448669,0.425650558,0.506781751,0.506781751,0.378666667,0,0,0.219312602,0.433021807,0.712230216,0.433021807,0.712230216,0.060606061
0.696969697,0.58150289,0.58150289,0.043932778,0.956349206,0.956824513,0.956386293,0.447761194,0.029337139,0.075095057,0.44795539,0.446773531,0.446773531,0.314666667,0,0,0.102291326,0.361370717,0.833504625,0.361370717,0.833504625,0.156565657
0.683982684,0.58150289,0.58150289,0.023818976,0.976190476,0.97632312,0.976635514,0.440298507,0,0,0.459107807,0.408960132,0.408960132,0.272,0,0,0,0.314641745,0.941418294,0.314641745,0.941418294,0.131313131
0.393939394,0.416184971,0.416184971,0.274712187,0.724867725,0.725626741,0.725856698,0.253731343,0.418014589,0.418250951,0.488847584,0.229346486,0.229346486,0.314666667,0.133333333,0,0.519639935,0.358255452,0.416238438,0.358255452,0.416238438,0.378787879
0.480519481,0.396531792,0.396531792,0.158528517,0.841269841,0.841225627,0.842679128,0.291044776,0.338090707,0.625475285,0.381040892,0.657624332,0.657624332,0.650666667,0.066666667,0,0.725040917,0.69470405,0.229188078,0.69470405,0.229188078,0.303030303
0,0.006936416,0.006936416,0.693264523,0.306878307,0.306406685,0.306853583,0.007462687,0.661750714,1,0.821561338,0.031237156,0.031237156,0.093333333,0.466666667,0.428571429,1,0.102803738,0,0.102803738,0,0.853535354
0.229437229,0.330635838,0.330635838,0.372105333,0.628306878,0.628133705,0.627725857,0.156716418,0.480019029,0.625475285,0.760223048,0.354295109,0.354295109,0.296,0.333333333,0.285714286,0.725040917,0.348909657,0.229188078,0.348909657,0.229188078,0.590909091
0,0,0,0.646552865,0.353174603,0.353760446,0.353582555,0,0.625753251,1,0.79739777,0.041101521,0.041101521,0.114666667,0.4,0.357142857,1,0.127725857,0,0.127725857,0,0.757575758
0.393939394,0.416184971,0.416184971,0.274712187,0.724867725,0.725626741,0.725856698,0.253731343,0.528544244,0.418250951,0.711895911,0.490341143,0.490341143,0.314666667,0.266666667,0,0.519639935,0.358255452,0.416238438,0.358255452,0.416238438,0.424242424
0.393939394,0.416184971,0.416184971,0.227206563,0.772486772,0.772980501,0.774143302,0.253731343,0.400570885,0.625475285,0.336431227,0.55487053,0.55487053,0.557333333,0.133333333,0,0.725040917,0.6105919,0.229188078,0.6105919,0.229188078,0.343434343
0.359307359,0.957225434,0.957225434,0.411141988,0.588624339,0.58913649,0.588785047,0.343283582,0.311925151,0.428231939,0.689591078,0.376078915,0.376078915,0.533333333,0.333333333,0.142857143,0.541734861,0.654205607,0.953751285,0.654205607,0.953751285,0
0.255411255,0.712138728,0.712138728,0.410877332,0.588624339,0.58913649,0.590342679,0.291044776,0.617189978,0.274714829,1,0.404849979,0.404849979,0.322666667,0.533333333,0.5,0.27086743,0.408099688,0.596094553,0.408099688,0.596094553,0.505050505
0.29004329,0.321387283,0.321387283,0.287150986,0.712962963,0.713091922,0.713395639,0.179104478,0.400570885,0.625475285,0.676579926,0.411015208,0.411015208,0.373333333,0.2,0.142857143,0.725040917,0.417445483,0.229188078,0.417445483,0.229188078,0.601010101
