Psi_i_t,MPC06,SpMaxA_X,VE1_B(m),SpMax6_Bh(s),SpMaxA_AEA(ri),SM11_AEA(bo),Eig03_EA,Eig03_EA(ri),Eig04_AEA(ed),Eig04_AEA(bo),Eig04_AEA(dm),Eig03_AEA(ri),Eig04_AEA(ri),VaporPressure
0.054,0.000,0.143,2.464,2.318,0.547,0.274,0.274,0.232,1.294,0.405,-0.366,1.134,0.344,0.931659042
0.071,0.000,0.167,2.327,2.073,0.540,0.000,0.000,0.000,0.382,0.000,-0.659,0.867,-0.105,0.918681729
0.115,0.000,0.200,2.156,0.999,0.636,-0.618,-0.618,-0.541,0.000,-0.618,-1.328,0.257,-0.697,0.990196994
0.050,0.000,0.143,2.499,2.027,0.561,-0.414,-0.414,-0.388,1.000,0.000,-0.596,0.543,-0.099,0.860330501
0.001,2.996,0.077,3.326,3.889,0.314,1.646,1.646,1.625,3.759,2.862,1.610,2.634,2.414,0.018548221
0.128,0.000,0.250,1.933,0.999,0.781,-1.414,-1.414,-1.304,0.000,0.000,0.000,-0.492,0.000,0.860237139
0.008,2.197,0.100,2.992,3.244,0.389,1.414,1.414,1.397,3.466,2.607,1.319,2.403,2.000,0.126692186
0.002,3.332,0.071,3.214,3.930,0.293,2.125,2.125,1.931,3.759,2.426,2.286,3.056,1.904,0.008832042
0.035,0.000,0.167,2.225,1.115,0.698,-1.000,-1.000,-0.593,1.000,0.000,-0.226,0.000,-0.277,0.897021753
0.007,2.197,0.100,2.950,3.296,0.391,1.414,1.414,1.376,3.466,2.532,1.311,2.392,2.005,0.026860237
0.019,1.792,0.091,3.018,3.030,0.278,1.310,1.310,1.052,2.618,1.831,1.767,2.151,1.618,0.014069648
0.005,2.890,0.077,3.026,3.538,0.293,1.591,1.591,1.519,3.624,2.910,1.562,2.548,2.450,0.017206610
0.002,3.258,0.067,3.154,3.736,0.257,2.064,2.064,2.027,4.362,2.919,2.176,3.058,2.521,0.005476613
0.004,2.773,0.091,3.039,3.432,0.348,1.414,1.414,1.216,3.775,2.818,1.932,2.309,2.202,0.005476613
0.013,2.079,0.111,2.778,2.840,0.416,1.414,1.414,1.346,2.415,1.459,0.739,2.371,1.065,0.782279899
0.003,3.664,0.062,3.512,3.467,0.278,2.593,2.593,2.477,4.667,2.916,1.769,3.552,2.566,0.054616749
0.013,2.197,0.083,3.048,3.467,0.369,1.284,1.284,1.317,3.028,2.089,1.193,2.315,1.941,0.149257772
0.005,2.890,0.083,3.018,3.263,0.333,1.707,1.707,1.521,3.347,1.917,1.652,2.620,1.678,0.071141817
0.036,1.792,0.125,2.670,1.889,0.442,1.183,1.183,1.139,2.000,1.000,0.210,2.164,0.577,0.773410513
0.068,0.000,0.200,2.020,0.999,0.645,-0.618,-0.618,-0.548,0.000,-0.496,-0.986,0.271,-0.662,1.000000000
0.000,3.497,0.059,3.693,4.141,0.268,1.987,1.987,1.960,4.375,3.094,2.175,2.975,2.420,0.018513678
0.002,2.890,0.083,3.216,3.606,0.322,1.556,1.556,1.546,3.513,2.629,1.595,2.556,2.006,0.024591541
0.006,2.303,0.100,2.999,3.362,0.377,1.322,1.322,1.298,3.435,2.586,1.182,2.307,2.000,0.469143871
0.009,2.565,0.100,2.964,3.215,0.377,1.235,1.235,1.217,3.414,2.500,1.000,2.238,2.000,0.024180749
0.015,2.565,0.100,2.904,2.769,0.362,1.000,1.000,1.000,2.913,2.319,1.065,2.000,1.735,0.296144151
0.001,3.332,0.059,3.364,3.674,0.219,2.008,2.008,1.921,3.865,2.920,1.745,2.974,2.490,0.011726263
0.006,2.890,0.083,3.036,3.470,0.319,1.607,1.607,1.466,3.183,2.295,1.881,2.524,1.939,0.000330595
0.008,2.890,0.083,3.046,3.376,0.319,1.531,1.531,1.420,3.199,2.655,1.432,2.464,2.096,0.192699094
0.008,1.609,0.111,2.889,3.089,0.413,1.000,1.000,0.993,2.000,1.000,0.821,2.007,0.762,0.016459714
0.000,4.263,0.037,3.460,4.220,0.149,2.473,2.473,2.365,5.368,3.831,2.710,3.432,3.415,0.440948558
0.010,3.296,0.091,2.928,3.147,0.324,1.534,1.534,1.439,3.450,2.365,1.986,2.477,2.125,0.113714873
0.003,2.996,0.067,3.058,3.600,0.262,2.007,2.007,1.922,3.859,2.862,1.704,2.975,2.392,0.085426197
0.015,3.367,0.071,3.411,3.472,0.297,1.603,1.603,1.600,3.732,2.526,1.608,2.602,2.437,0.073475866
0.008,2.398,0.091,3.004,3.272,0.358,1.414,1.414,1.397,3.566,2.578,1.461,2.403,2.097,0.149845953
0.000,4.078,0.053,3.761,4.362,0.234,2.580,2.580,2.465,5.287,3.449,2.829,3.537,2.947,0.015246009
0.036,0.693,0.125,2.610,2.497,0.468,0.826,0.826,0.727,1.555,0.555,0.103,1.715,0.409,0.760993371
0.012,2.833,0.091,3.034,3.329,0.345,1.287,1.287,1.305,3.414,2.500,1.067,2.313,2.000,0.290355709
0.011,2.303,0.111,2.814,3.297,0.410,1.879,1.879,1.749,2.382,1.000,-0.047,2.816,0.588,0.054896835
0.005,1.792,0.091,3.202,3.607,0.327,1.516,1.516,1.510,2.724,1.849,1.203,2.519,1.719,0.009317524
0.012,2.708,0.083,3.069,3.467,0.385,1.697,1.697,1.728,3.754,2.309,1.572,2.717,2.053,0.006441976
0.001,2.639,0.067,3.696,4.190,0.252,2.170,2.170,2.084,4.345,3.115,2.701,3.145,2.843,0.019906638
0.000,2.398,0.062,3.365,4.516,0.214,1.868,1.868,1.628,3.578,2.639,2.319,2.748,2.454,0.020866399
