ATS1m,SM1_B(m),SM1_B€,SM1_B(i),HyWi_X,EE_X,BID,CID,MPC01,MWC01,IVDM,SpAD_A,SpPos_A,HyWi_B€,ATS1s,WiA_B(p),WiA_B(v),VE2_B(s),VE2_B€,SpMaxA_A,RT
0.377435433,0.337539432,0.337887546,0.344108446,0.279285714,0.3375,0.301017355,0.398320071,0.397742076,0.397742076,0.390015601,0.162789605,0.162781955,0.369651522,0.258837627,0.588588589,0.54144385,0.544857768,0.507194245,0.609137056,0.22041763
0.463978251,0.42639327,0.426169207,0.442648592,0.344285714,0.415217391,0.385996409,0.473916888,0.477203647,0.477203647,0.451170047,0.230226984,0.230169173,0.480811645,0.459556621,0.493993994,0.45855615,0.448577681,0.408273381,0.54822335,0.32598608
0.623470775,0.594637224,0.595375723,0.603232534,0.567142857,0.614673913,0.572710952,0.65694076,0.653061224,0.653061224,0.648361934,0.402509516,0.402537594,0.633877371,0.519472738,0.295795796,0.264705882,0.297592998,0.273381295,0.307106599,0.49941995
0.66379701,0.627760252,0.627430373,0.624608968,0.547142857,0.607065217,0.569718731,0.65694076,0.653061224,0.653061224,0.648361934,0.387800179,0.387781955,0.657697397,0.56141402,0.25975976,0.247326203,0.319474836,0.221223022,0.284263959,0.41763341
0.570910739,0.541009464,0.541776143,0.549530761,0.482142857,0.549456522,0.512268103,0.603448276,0.601823708,0.601823708,0.591575663,0.317825086,0.317763158,0.58667843,0.441581786,0.355855856,0.319518717,0.36761488,0.284172662,0.350253807,0.41415313
0.264612596,0.247108307,0.247503941,0.252346194,0.12,0.216304348,0.240574506,0.291335102,0.300911854,0.300911854,0.247113885,0.068800226,0.068796992,0.322452581,0.135410425,0.798798799,0.739304813,0.658643326,0.595323741,0.829949239,0.04930394
0.59401903,0.568874869,0.568575933,0.577163712,0.477857143,0.550543478,0.522441652,0.596816976,0.601823708,0.601823708,0.563806552,0.342685277,0.342669173,0.591971769,0.596165368,0.304804805,0.288770053,0.299781182,0.305755396,0.426395939,0.55162413
0.462165836,0.42639327,0.426169207,0.442648592,0.282142857,0.396195652,0.396768402,0.465517241,0.477203647,0.477203647,0.412480499,0.17947272,0.179417293,0.463167181,0.425404434,0.471471471,0.438502674,0.426695842,0.411870504,0.609137056,0.31032483
0.645219755,0.611461619,0.611665791,0.614181439,0.531428571,0.596195652,0.57989228,0.677718833,0.699088146,0.699088146,0.650858034,0.431881197,0.431860902,0.707101897,0.564409826,0.352852853,0.323529412,0.319474836,0.302158273,0.350253807,0.56670534
0.838695061,0.802313354,0.802942722,0.811261731,0.790714286,0.817934783,0.806104129,0.881962865,0.903169779,0.903169779,0.862714509,0.790215706,0.790131579,0.896338774,0.723187537,0.175675676,0.153743316,0.210065646,0.194244604,0.149746193,0.81728538
