Xt,Psi_i_t,SpMaxA_X,Chi_Dt,VE2_X,VE2sign_L,SpMaxA_AEA(ri),VP
0.561,0.054,0.143,0.472,0.37,0.378,0.547,0.931283
0.601,0.071,0.167,0.468,0.404,0.408,0.54,0.918234
0.693,0.115,0.2,0.548,0.441,0.447,0.636,0.990143
0.588,0.05,0.143,0.492,0.366,0.378,0.561,0.859561
0.363,0.001,0.077,0.225,0.27,0.277,0.314,0.013144
0.849,0.128,0.25,0.658,0.493,0.5,0.781,0.859467
0.406,0.008,0.1,0.249,0.31,0.316,0.389,0.121883
0.348,0.002,0.071,0.22,0.261,0.267,0.293,0.003374
0.675,0.035,0.167,0.599,0.393,0.408,0.698,0.896455
0.406,0.007,0.1,0.249,0.31,0.316,0.391,0.021501
0.4,0.019,0.091,0.269,0.299,0.302,0.278,0.00864
0.35,0.005,0.077,0.21,0.273,0.277,0.293,0.011795
0.329,0.002,0.067,0.206,0.254,0.258,0.257,0
0.393,0.004,0.091,0.247,0.294,0.302,0.348,0.781081
0.431,0.013,0.111,0.26,0.326,0.333,0.416,0.081798
0.342,0.003,0.062,0.219,0.24,0.25,0.278,0.049411
0.41,0.013,0.083,0.301,0.281,0.289,0.369,0.144573
0.374,0.005,0.083,0.23,0.282,0.289,0.333,0.066027
0.449,0.036,0.125,0.268,0.348,0.354,0.442,0.772163
0.693,0.068,0.2,0.548,0.441,0.447,0.645,1
0.317,0,0.059,0.232,0.236,0.243,0.268,0.013109
0.374,0.002,0.083,0.235,0.282,0.289,0.322,0.01922
0.406,0.006,0.1,0.253,0.31,0.316,0.377,0.466221
0.406,0.009,0.1,0.258,0.31,0.316,0.377,0.018807
0.397,0.015,0.1,0.251,0.312,0.316,0.362,0.292268
0.288,0.001,0.059,0.172,0.24,0.243,0.219,0.006284
0.366,0.006,0.083,0.227,0.284,0.289,0.319,0.03899
0.366,0.008,0.083,0.228,0.284,0.289,0.319,0.188253
0.484,0.008,0.111,0.364,0.325,0.333,0.413,0.011044
0.23,0,0.037,0.152,0.19,0.192,0.149,0.43787
0.35,0.01,0.091,0.174,0.271,0.302,0.324,0.108834
0.329,0.003,0.067,0.205,0.254,0.258,0.262,0.08039
0.319,0.015,0.071,0.195,0.263,0.267,0.297,0.068374
0.385,0.008,0.091,0.242,0.296,0.302,0.358,0.145164
0.309,0,0.053,0.201,0.222,0.229,0.234,0.009823
0.508,0.036,0.125,0.417,0.347,0.354,0.468,0.759677
0.385,0.012,0.091,0.248,0.296,0.302,0.345,0.286448
0.431,0.011,0.111,0.259,0.326,0.333,0.41,0.049692
0.42,0.005,0.091,0.291,0.295,0.302,0.327,0.003862
0.385,0.012,0.083,0.299,0.28,0.289,0.385,0.000971
0.357,0.001,0.067,0.274,0.252,0.258,0.252,0.014509
0.331,0,0.062,0.196,0.247,0.25,0.214,0.015475
0.849,0.128,0.25,0.658,0.493,0.5,0.781,0.859467
0.406,0.008,0.1,0.249,0.31,0.316,0.389,0.121883
0.348,0.002,0.071,0.22,0.261,0.267,0.293,0.003374
0.393,0.004,0.091,0.247,0.294,0.302,0.348,0.781081
0.342,0.003,0.062,0.219,0.24,0.25,0.278,0.049411
0.406,0.009,0.1,0.258,0.31,0.316,0.377,0.018807
0.288,0.001,0.059,0.172,0.24,0.243,0.219,0.006284
0.484,0.008,0.111,0.364,0.325,0.333,0.413,0.011044
0.329,0.003,0.067,0.205,0.254,0.258,0.262,0.08039
0.385,0.008,0.091,0.242,0.296,0.302,0.358,0.145164
0.331,0,0.062,0.196,0.247,0.25,0.214,0.015475
